crashId,dateTimeId
20241115,20241115_12_2024_4:00
20241125,20241125_12_2024_6:15
20246013,20246013_12_2024_9:43
20241002,20241002_12_2024_10:35
20243185,20243185_12_2024_13:00
20244016,20244016_12_2024_13:39
20243168,20243168_12_2024_19:00
20246003,20246003_12_2024_19:30
20246001,20246001_12_2024_19:40
20244081,20244081_12_2024_22:42
20241087,20241087_12_2024_23:00
20241054,20241054_12_2024_23:10
20244042,20244042_12_2024_1:00
20243246,20243246_12_2024_9:00
20241101,20241101_12_2024_10:48
20241216,20241216_12_2024_12:05
20241300,20241300_12_2024_13:58
20243007,20243007_12_2024_14:00
20241278,20241278_12_2024_14:43
20241149,20241149_12_2024_16:00
20241068,20241068_12_2024_3:30
20243273,20243273_12_2024_4:00
20244020,20244020_12_2024_10:25
20244055,20244055_12_2024_10:36
20241094,20241094_12_2024_12:10
20243160,20243160_12_2024_14:00
20243209,20243209_12_2024_14:00
20244001,20244001_12_2024_14:50
20243243,20243243_12_2024_15:00
20246016,20246016_12_2024_15:18
20241119,20241119_12_2024_15:25
20241169,20241169_12_2024_21:30
20241291,20241291_12_2024_2:00
20243036,20243036_12_2024_4:00
20244026,20244026_12_2024_6:35
20241077,20241077_12_2024_8:09
20241028,20241028_12_2024_8:20
20241022,20241022_12_2024_11:20
20243015,20243015_12_2024_12:00
20244023,20244023_12_2024_12:35
20241098,20241098_12_2024_12:50
20243114,20243114_12_2024_13:00
20241040,20241040_12_2024_14:15
20241174,20241174_12_2024_14:48
20241088,20241088_12_2024_16:00
20241255,20241255_12_2024_18:20
20241053,20241053_12_2024_22:19
20243046,20243046_12_2024_23:00
20241080,20241080_12_2024_1:39
20243044,20243044_12_2024_12:00
20241274,20241274_12_2024_15:40
20243176,20243176_12_2024_4:00
20241181,20241181_12_2024_8:30
20243110,20243110_12_2024_11:00
20244044,20244044_12_2024_13:30
20243147,20243147_12_2024_15:00
20244019,20244019_12_2024_18:30
20241194,20241194_12_2024_21:10
20241139,20241139_12_2024_22:55
20241197,20241197_12_2024_23:55
20243220,20243220_12_2024_0:00
20243267,20243267_12_2024_4:00
20241057,20241057_12_2024_12:25
20243174,20243174_12_2024_16:00
20241166,20241166_12_2024_17:00
20243213,20243213_11_2024_2:00
20241096,20241096_11_2024_4:44
20242089,20242089_11_2024_7:05
20243073,20243073_11_2024_10:00
20241027,20241027_11_2024_10:50
20241163,20241163_11_2024_12:42
20243143,20243143_11_2024_13:00
20241222,20241222_11_2024_14:30
20241218,20241218_11_2024_17:30
20243249,20243249_11_2024_18:00
20243098,20243098_11_2024_20:00
20241306,20241306_11_2024_22:35
20243037,20243037_11_2024_6:00
20244083,20244083_11_2024_6:23
20241196,20241196_11_2024_11:30
20244028,20244028_11_2024_12:12
20243038,20243038_11_2024_14:00
20242023,20242023_11_2024_14:20
20242230,20242230_11_2024_15:05
20242127,20242127_11_2024_15:07
20242120,20242120_11_2024_15:08
20241106,20241106_11_2024_15:38
20241230,20241230_11_2024_16:30
20241055,20241055_11_2024_17:57
20241267,20241267_11_2024_20:00
20242260,20242260_11_2024_23:10
20242057,20242057_11_2024_5:20
20243153,20243153_11_2024_9:00
20242161,20242161_11_2024_9:25
20241236,20241236_11_2024_10:00
20243172,20243172_11_2024_10:00
20241188,20241188_11_2024_11:10
20243191,20243191_11_2024_16:00
20241256,20241256_11_2024_17:20
20242019,20242019_11_2024_18:39
20243008,20243008_11_2024_19:00
20243001,20243001_11_2024_21:00
20243041,20243041_11_2024_21:00
20244021,20244021_11_2024_21:35
20243113,20243113_11_2024_23:00
20241107,20241107_11_2024_23:24
20243022,20243022_11_2024_0:00
20248002,20248002_11_2024_1:30
20242088,20242088_11_2024_2:10
20241173,20241173_11_2024_3:00
20241004,20241004_11_2024_6:00
20246004,20246004_11_2024_7:15
20241201,20241201_11_2024_8:10
20241029,20241029_11_2024_10:40
20243005,20243005_11_2024_11:00
20241261,20241261_11_2024_11:04
20244024,20244024_11_2024_11:30
20241215,20241215_11_2024_14:45
20243186,20243186_11_2024_17:00
20243208,20243208_11_2024_21:00
20241134,20241134_11_2024_0:01
20243040,20243040_11_2024_2:00
20241263,20241263_11_2024_4:00
20241302,20241302_11_2024_4:02
20241147,20241147_11_2024_5:45
20243248,20243248_11_2024_9:00
20243096,20243096_11_2024_9:00
20241150,20241150_11_2024_12:20
20241247,20241247_11_2024_13:30
20241234,20241234_11_2024_17:25
20242110,20242110_11_2024_17:44
20242052,20242052_11_2024_18:15
20243247,20243247_11_2024_5:00
20243144,20243144_11_2024_6:00
20241235,20241235_11_2024_10:45
20243087,20243087_11_2024_11:00
20244061,20244061_11_2024_11:48
20241009,20241009_11_2024_11:58
20241072,20241072_11_2024_12:00
20243129,20243129_11_2024_12:00
20242219,20242219_11_2024_12:25
20241219,20241219_11_2024_12:37
20244010,20244010_11_2024_12:55
20244040,20244040_11_2024_14:33
20243171,20243171_11_2024_16:00
20242075,20242075_11_2024_16:40
20243079,20243079_11_2024_17:00
20241045,20241045_11_2024_20:10
20243017,20243017_11_2024_23:00
20241160,20241160_11_2024_17:15
20241081,20241081_11_2024_18:00
20241135,20241135_11_2024_21:50
20241209,20241209_11_2024_22:08
20242140,20242140_10_2024_6:50
20242142,20242142_10_2024_7:15
20243107,20243107_10_2024_10:00
20243020,20243020_10_2024_11:00
20241151,20241151_10_2024_11:22
20243158,20243158_10_2024_15:00
20241286,20241286_10_2024_15:50
20243102,20243102_10_2024_16:00
20241303,20241303_10_2024_16:22
20246029,20246029_10_2024_16:58
20248005,20248005_10_2024_17:50
20244018,20244018_10_2024_19:57
20241060,20241060_10_2024_20:00
20242022,20242022_10_2024_22:20
20241037,20241037_10_2024_22:45
20241257,20241257_10_2024_23:38
20241128,20241128_10_2024_0:25
20243089,20243089_10_2024_2:00
20242181,20242181_10_2024_6:30
20243082,20243082_10_2024_8:00
20243150,20243150_10_2024_14:00
20243170,20243170_10_2024_18:00
20243239,20243239_10_2024_18:00
20242040,20242040_10_2024_2:10
20243084,20243084_10_2024_4:00
20241030,20241030_10_2024_5:06
20243127,20243127_10_2024_8:00
20243003,20243003_10_2024_12:00
20243266,20243266_10_2024_13:00
20241042,20241042_10_2024_13:10
20243121,20243121_10_2024_14:00
20241175,20241175_10_2024_20:10
20243072,20243072_10_2024_1:00
20244057,20244057_10_2024_3:45
20241091,20241091_10_2024_8:30
20243201,20243201_10_2024_9:00
20242135,20242135_10_2024_9:49
20243225,20243225_10_2024_10:00
20241167,20241167_10_2024_12:10
20244060,20244060_10_2024_13:00
20241268,20241268_10_2024_13:00
20244013,20244013_10_2024_13:29
20243235,20243235_10_2024_14:00
20244059,20244059_10_2024_14:42
20241266,20241266_10_2024_15:35
20243131,20243131_10_2024_16:00
20242080,20242080_10_2024_16:45
20241287,20241287_10_2024_4:50
20241152,20241152_10_2024_5:45
20243161,20243161_10_2024_8:00
20242042,20242042_10_2024_8:28
20243210,20243210_10_2024_9:00
20244025,20244025_10_2024_10:45
20243088,20243088_10_2024_13:00
20241211,20241211_10_2024_13:30
20242007,20242007_10_2024_13:54
20241204,20241204_10_2024_15:15
20244062,20244062_10_2024_16:30
20241137,20241137_10_2024_16:35
20243117,20243117_10_2024_17:00
20242081,20242081_10_2024_17:31
20243206,20243206_10_2024_19:00
20248003,20248003_10_2024_21:30
20244032,20244032_10_2024_0:18
20241153,20241153_10_2024_4:00
20242138,20242138_10_2024_5:15
20243198,20243198_10_2024_6:00
20242107,20242107_10_2024_14:30
20243080,20243080_10_2024_18:00
20242204,20242204_10_2024_18:15
20242139,20242139_10_2024_20:20
20241103,20241103_10_2024_13:45
20242129,20242129_10_2024_15:18
20244027,20244027_10_2024_15:34
20243006,20243006_10_2024_16:00
20243108,20243108_10_2024_17:00
20243212,20243212_10_2024_18:00
20241237,20241237_10_2024_18:45
20241052,20241052_10_2024_21:27
20241308,20241308_10_2024_23:30
20246027,20246027_9_2024_2:42
20244072,20244072_9_2024_8:00
20241195,20241195_9_2024_12:00
20244043,20244043_9_2024_12:18
20241102,20241102_9_2024_12:40
20243194,20243194_9_2024_14:00
20243070,20243070_9_2024_17:00
20243165,20243165_9_2024_18:00
20241063,20241063_9_2024_18:45
20241132,20241132_9_2024_20:18
20241292,20241292_9_2024_20:30
20241189,20241189_9_2024_21:00
20241233,20241233_9_2024_21:22
20242115,20242115_9_2024_10:09
20242167,20242167_9_2024_11:50
20241016,20241016_9_2024_13:30
20243234,20243234_9_2024_14:00
20246025,20246025_9_2024_14:00
20241220,20241220_9_2024_14:15
20241034,20241034_9_2024_17:30
20242012,20242012_9_2024_17:38
20243009,20243009_9_2024_1:00
20241269,20241269_9_2024_9:15
20242093,20242093_9_2024_10:05
20242176,20242176_9_2024_11:27
20242255,20242255_9_2024_15:47
20241066,20241066_9_2024_16:22
20242175,20242175_9_2024_17:35
20243207,20243207_9_2024_18:00
20242029,20242029_9_2024_19:06
20241246,20241246_9_2024_19:30
20241078,20241078_9_2024_22:08
20243064,20243064_9_2024_0:00
20241013,20241013_9_2024_1:15
20246019,20246019_9_2024_3:15
20242257,20242257_9_2024_10:04
20241138,20241138_9_2024_10:25
20244014,20244014_9_2024_13:00
20244069,20244069_9_2024_16:40
20242053,20242053_9_2024_16:40
20243111,20243111_9_2024_17:00
20243067,20243067_9_2024_19:00
20242186,20242186_9_2024_19:45
20242250,20242250_9_2024_21:20
20243167,20243167_9_2024_0:00
20243106,20243106_9_2024_4:00
20242098,20242098_9_2024_5:25
20241179,20241179_9_2024_6:50
20242070,20242070_9_2024_7:04
20243261,20243261_9_2024_8:00
20243227,20243227_9_2024_11:00
20242243,20242243_9_2024_11:30
20242102,20242102_9_2024_12:17
20241109,20241109_9_2024_21:05
20243187,20243187_9_2024_4:00
20241301,20241301_9_2024_12:36
20243135,20243135_9_2024_16:00
20241248,20241248_9_2024_6:00
20243268,20243268_9_2024_11:00
20242071,20242071_9_2024_13:11
20241020,20241020_9_2024_15:20
20241294,20241294_9_2024_16:50
20241304,20241304_9_2024_17:46
20242123,20242123_9_2024_18:40
20242144,20242144_9_2024_22:06
20241199,20241199_9_2024_22:45
20243066,20243066_8_2024_2:00
20243233,20243233_8_2024_5:00
20243203,20243203_8_2024_5:00
20242209,20242209_8_2024_6:15
20242056,20242056_8_2024_6:35
20242130,20242130_8_2024_8:59
20243109,20243109_8_2024_11:00
20243010,20243010_8_2024_13:00
20243181,20243181_8_2024_15:00
20246018,20246018_8_2024_15:15
20241071,20241071_8_2024_17:45
20241186,20241186_8_2024_17:50
20243078,20243078_8_2024_18:00
20241223,20241223_8_2024_18:54
20241221,20241221_8_2024_19:30
20241143,20241143_8_2024_19:55
20243242,20243242_8_2024_20:00
20242189,20242189_8_2024_0:48
20242170,20242170_8_2024_5:38
20243043,20243043_8_2024_7:00
