crashId,locationId
20241115,20241115_NSW_Inner Regional Australia_Riverina_Wagga Wagga_Arterial Road
20241125,20241125_NSW_Inner Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury_Local Road
20246013,20246013_TAS_Inner Regional Australia_Launceston and North East_Northern Midlands_Local Road
20241002,20241002_NSW_Outer Regional Australia_New England and North West_Armidale_National or State Highway
20243185,20243185_QLD_Inner Regional Australia_Toowoomba_Lockyer Valley_National or State Highway
20244016,20244016_SA_Outer Regional Australia_Barossa - Yorke - Mid North_Wakefield_Sub-arterial Road
20243168,20243168_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road
20246003,20246003_TAS_Inner Regional Australia_Hobart_Brighton_Local Road
20246001,20246001_TAS_Outer Regional Australia_Launceston and North East_West Tamar_National or State Highway
20244081,20244081_SA_Outer Regional Australia_South Australia - South East_Mid Murray_Local Road
20241087,20241087_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Blue Mountains_National or State Highway
20241054,20241054_NSW_Inner Regional Australia_Capital Region_Upper Lachlan_National or State Highway
20244042,20244042_SA_Outer Regional Australia_South Australia - South East_Wattle Range_Local Road
20243246,20243246_QLD_Outer Regional Australia_Cairns_Cairns_Collector Road
20241101,20241101_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20241216,20241216_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Collector Road
20241300,20241300_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter_National or State Highway
20243007,20243007_QLD_Outer Regional Australia_Wide Bay_South Burnett_National or State Highway
20241278,20241278_NSW_Outer Regional Australia_Central West_Mid-Western_Arterial Road
20241149,20241149_NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown_Collector Road
20241068,20241068_NSW_Outer Regional Australia_Murray_Greater Hume_National or State Highway
20243273,20243273_QLD_Outer Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road
20244020,20244020_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Sub-arterial Road
20244055,20244055_SA_Outer Regional Australia_South Australia - South East_Wattle Range_National or State Highway
20241094,20241094_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway
20243160,20243160_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Mackay_National or State Highway
20243209,20243209_QLD_Outer Regional Australia_Cairns_Douglas_Local Road
20244001,20244001_SA_Inner Regional Australia_South Australia - South East_Yankalilla_Arterial Road
20243243,20243243_QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Sub-arterial Road
20246016,20246016_TAS_Outer Regional Australia_Launceston and North East_Dorset_National or State Highway
20241119,20241119_NSW_Inner Regional Australia_New England and North West_Armidale_Local Road
20241169,20241169_NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley_National or State Highway
20241291,20241291_NSW_Outer Regional Australia_Far West and Orana_Narromine_National or State Highway
20243036,20243036_QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Local Road
20244026,20244026_SA_Very Remote Australia_South Australia - Outback_Unincorporated SA_Local Road
20241077,20241077_NSW_Major Cities of Australia_Illawarra_Shellharbour_Collector Road
20241028,20241028_NSW_Major Cities of Australia_Illawarra_Wollongong_Collector Road
20241022,20241022_NSW_Outer Regional Australia_New England and North West_Narrabri_Sub-arterial Road
20243015,20243015_QLD_Inner Regional Australia_Logan - Beaudesert_Logan_Local Road
20244023,20244023_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Sub-arterial Road
20241098,20241098_NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley_Sub-arterial Road
20243114,20243114_QLD_Remote Australia_Queensland - Outback_Cook_Sub-arterial Road
20241040,20241040_NSW_Outer Regional Australia_New England and North West_Tenterfield_National or State Highway
20241174,20241174_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road
20241088,20241088_NSW_Outer Regional Australia_New England and North West_Tamworth_Arterial Road
20241255,20241255_NSW_Inner Regional Australia_Capital Region_Hilltops_Arterial Road
20241053,20241053_NSW_Outer Regional Australia_Central West_Forbes_Arterial Road
20243046,20243046_QLD_Inner Regional Australia_Toowoomba_Toowoomba_Collector Road
20241080,20241080_NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Lake Macquarie_Arterial Road
20243044,20243044_QLD_Remote Australia_Central Queensland_Livingstone_National or State Highway
20241274,20241274_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_National or State Highway
20243176,20243176_QLD_Outer Regional Australia_Cairns_Cairns_Collector Road
20241181,20241181_NSW_Outer Regional Australia_Murray_Balranald_National or State Highway
20243110,20243110_QLD_Very Remote Australia_Queensland - Outback_Lockhart River_Local Road
20244044,20244044_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_Sub-arterial Road
20243147,20243147_QLD_Outer Regional Australia_Cairns_Cassowary Coast_National or State Highway
20244019,20244019_SA_Remote Australia_South Australia - Outback_Tumby Bay_Collector Road
20241194,20241194_NSW_Major Cities of Australia_Sydney - South West_Liverpool_Arterial Road
20241139,20241139_NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Local Road
20241197,20241197_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_National or State Highway
20243220,20243220_QLD_Outer Regional Australia_Cairns_Cassowary Coast_Collector Road
20243267,20243267_QLD_Inner Regional Australia_Moreton Bay - North_Moreton Bay_National or State Highway
20241057,20241057_NSW_Inner Regional Australia_Richmond - Tweed_Ballina_National or State Highway
20243174,20243174_QLD_Inner Regional Australia_Logan - Beaudesert_Logan_National or State Highway
20241166,20241166_NSW_Inner Regional Australia_Richmond - Tweed_Kyogle_Sub-arterial Road
20243213,20243213_QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway
20241096,20241096_NSW_Outer Regional Australia_New England and North West_Tenterfield_National or State Highway
20242089,20242089_VIC_Major Cities of Australia_Melbourne - Inner_Melbourne_Arterial Road
20243073,20243073_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road
20241027,20241027_NSW_Outer Regional Australia_Riverina_Snowy Valleys_National or State Highway
20241163,20241163_NSW_Outer Regional Australia_New England and North West_Tamworth_Sub-arterial Road
20243143,20243143_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_Local Road
20241222,20241222_NSW_Major Cities of Australia_Sydney - South West_Fairfield_National or State Highway
20241218,20241218_NSW_Inner Regional Australia_Capital Region_Yass Valley_National or State Highway
20243249,20243249_QLD_Remote Australia_Central Queensland_Central Highlands (Qld)_Collector Road
20243098,20243098_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road
20241306,20241306_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_The Hills_Collector Road
20243037,20243037_QLD_Outer Regional Australia_Cairns_Cairns_Local Road
20244083,20244083_SA_Major Cities of Australia_Adelaide - North_Salisbury_Local Road
20241196,20241196_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Port Stephens_Sub-arterial Road
20244028,20244028_SA_Inner Regional Australia_South Australia - South East_Yankalilla_Arterial Road
20243038,20243038_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road
20242023,20242023_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Sub-arterial Road
20242230,20242230_VIC_Inner Regional Australia_Warrnambool and South West_Moyne_Arterial Road
20242127,20242127_VIC_Major Cities of Australia_Melbourne - South East_Cardinia_Collector Road
20242120,20242120_VIC_Outer Regional Australia_Latrobe - Gippsland_East Gippsland_Arterial Road
20241106,20241106_NSW_Inner Regional Australia_Richmond - Tweed_Ballina_Sub-arterial Road
20241230,20241230_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_Hornsby_Arterial Road
20241055,20241055_NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Local Road
20241267,20241267_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_Local Road
20242260,20242260_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Arterial Road
20242057,20242057_VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Arterial Road
20243153,20243153_QLD_Very Remote Australia_Queensland - Outback_Mareeba_Sub-arterial Road
20242161,20242161_VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Sub-arterial Road
20241236,20241236_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Arterial Road
20243172,20243172_QLD_Inner Regional Australia_Central Queensland_Rockhampton_Pedestrian Thoroughfare
20241188,20241188_NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway
20243191,20243191_QLD_Inner Regional Australia_Ipswich_Ipswich_Sub-arterial Road
20241256,20241256_NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_Arterial Road
20242019,20242019_VIC_Outer Regional Australia_Warrnambool and South West_Glenelg_National or State Highway
20243008,20243008_QLD_Inner Regional Australia_Wide Bay_Bundaberg_Collector Road
20243001,20243001_QLD_Outer Regional Australia_Cairns_Douglas_National or State Highway
20243041,20243041_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Sub-arterial Road
20244021,20244021_SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_Arterial Road
20243113,20243113_QLD_Major Cities of Australia_Brisbane - South_Brisbane_Local Road
20241107,20241107_NSW_Outer Regional Australia_Central West_Cabonne_Arterial Road
20243022,20243022_QLD_Major Cities of Australia_Gold Coast_Gold Coast_Collector Road
20248002,20248002_ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Arterial Road
20242088,20242088_VIC_Major Cities of Australia_Mornington Peninsula_Frankston_Sub-arterial Road
20241173,20241173_NSW_Outer Regional Australia_New England and North West_Moree Plains_National or State Highway
20241004,20241004_NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta_Local Road
20246004,20246004_TAS_Outer Regional Australia_Launceston and North East_Meander Valley_National or State Highway
20241201,20241201_NSW_Major Cities of Australia_Capital Region_Queanbeyan-Palerang_Local Road
20241029,20241029_NSW_Outer Regional Australia_Capital Region_Snowy Monaro_National or State Highway
20243005,20243005_QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway
20241261,20241261_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20244024,20244024_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Local Road
20241215,20241215_NSW_Outer Regional Australia_Murray_Federation_National or State Highway
20243186,20243186_QLD_Inner Regional Australia_Toowoomba_Toowoomba_Local Road
20243208,20243208_QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Sub-arterial Road
20241134,20241134_NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_Arterial Road
20243040,20243040_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_National or State Highway
20241263,20241263_NSW_Inner Regional Australia_Central West_Cowra_Local Road
20241302,20241302_NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree_National or State Highway
20241147,20241147_NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_The Hills_Collector Road
20243248,20243248_QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay_Local Road
20243096,20243096_QLD_Inner Regional Australia_Wide Bay_Gympie_Local Road
20241150,20241150_NSW_Major Cities of Australia_Sydney - North Sydney and Hornsby_Willoughby_Arterial Road
20241247,20241247_NSW_Inner Regional Australia_Capital Region_Shoalhaven_National or State Highway
20241234,20241234_NSW_Inner Regional Australia_Capital Region_Queanbeyan-Palerang_Arterial Road
20242110,20242110_VIC_Inner Regional Australia_Bendigo_Greater Bendigo_National or State Highway
20242052,20242052_VIC_Inner Regional Australia_Melbourne - North East_Nillumbik_Arterial Road
20243247,20243247_QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Sub-arterial Road
