locationId,state,nationalRemoteAreas,sa4Name,lgaName,nationalRoadType,crashId
20241115_NSW_Inner Regional Australia_Riverina_Wagga Wagga_Arterial Road,NSW,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road,20241115
20241125_NSW_Inner Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury_Local Road,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road,20241125
20246013_TAS_Inner Regional Australia_Launceston and North East_Northern Midlands_Local Road,TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,Local Road,20246013
20241002_NSW_Outer Regional Australia_New England and North West_Armidale_National or State Highway,NSW,Outer Regional Australia,New England and North West,Armidale,National or State Highway,20241002
20243185_QLD_Inner Regional Australia_Toowoomba_Lockyer Valley_National or State Highway,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,National or State Highway,20243185
20244016_SA_Outer Regional Australia_Barossa - Yorke - Mid North_Wakefield_Sub-arterial Road,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,Sub-arterial Road,20244016
20243168_QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road,20243168
20246003_TAS_Inner Regional Australia_Hobart_Brighton_Local Road,TAS,Inner Regional Australia,Hobart,Brighton,Local Road,20246003
20246001_TAS_Outer Regional Australia_Launceston and North East_West Tamar_National or State Highway,TAS,Outer Regional Australia,Launceston and North East,West Tamar,National or State Highway,20246001
20244081_SA_Outer Regional Australia_South Australia - South East_Mid Murray_Local Road,SA,Outer Regional Australia,South Australia - South East,Mid Murray,Local Road,20244081
20241087_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Blue Mountains_National or State Highway,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway,20241087
20241054_NSW_Inner Regional Australia_Capital Region_Upper Lachlan_National or State Highway,NSW,Inner Regional Australia,Capital Region,Upper Lachlan,National or State Highway,20241054
20244042_SA_Outer Regional Australia_South Australia - South East_Wattle Range_Local Road,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Local Road,20244042
20243246_QLD_Outer Regional Australia_Cairns_Cairns_Collector Road,QLD,Outer Regional Australia,Cairns,Cairns,Collector Road,20243246
20241101_NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,20241101
20241216_NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Collector Road,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road,20241216
20241300_NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter_National or State Highway,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway,20241300
20243007_QLD_Outer Regional Australia_Wide Bay_South Burnett_National or State Highway,QLD,Outer Regional Australia,Wide Bay,South Burnett,National or State Highway,20243007
20241278_NSW_Outer Regional Australia_Central West_Mid-Western_Arterial Road,NSW,Outer Regional Australia,Central West,Mid-Western,Arterial Road,20241278
20241149_NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown_Collector Road,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road,20241149
20241068_NSW_Outer Regional Australia_Murray_Greater Hume_National or State Highway,NSW,Outer Regional Australia,Murray,Greater Hume,National or State Highway,20241068
20243273_QLD_Outer Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road,20243273
20244020_SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Sub-arterial Road,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Sub-arterial Road,20244020
20244055_SA_Outer Regional Australia_South Australia - South East_Wattle Range_National or State Highway,SA,Outer Regional Australia,South Australia - South East,Wattle Range,National or State Highway,20244055
20241094_NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,20241094
20243160_QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Mackay_National or State Highway,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway,20243160
20243209_QLD_Outer Regional Australia_Cairns_Douglas_Local Road,QLD,Outer Regional Australia,Cairns,Douglas,Local Road,20243209
20244001_SA_Inner Regional Australia_South Australia - South East_Yankalilla_Arterial Road,SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road,20244001
