personId,roadUser,gender,age,ageGroup,crashId
1,Driver,Male,74,65_to_74,20241115
2,Driver,Female,19,17_to_25,20241125
3,Driver,Female,33,26_to_39,20246013
4,Driver,Female,32,26_to_39,20241002
5,Passenger,Female,61,40_to_64,20243185
6,Motorcycle rider,Male,47,40_to_64,20244016
7,Passenger,Female,29,26_to_39,20243168
8,Motorcycle rider,Male,19,17_to_25,20246003
9,Driver,Female,55,40_to_64,20246001
10,Driver,Female,45,40_to_64,20244081
11,Pedestrian,Male,50,40_to_64,20241087
12,Driver,Male,45,40_to_64,20241054
13,Driver,Male,61,40_to_64,20244042
14,Pedestrian,Male,74,65_to_74,20243246
15,Driver,Male,25,17_to_25,20241101
16,Pedestrian,Male,4,0_to_16,20241216
17,Driver,Male,27,26_to_39,20241300
18,Driver,Male,66,65_to_74,20243007
19,Driver,Male,27,26_to_39,20241278
20,Pedestrian,Female,65,65_to_74,20241149
21,Driver,Male,32,26_to_39,20241068
22,Driver,Male,25,17_to_25,20243273
23,Motorcycle rider,Male,69,65_to_74,20244020
24,Driver,Female,59,40_to_64,20244055
25,Passenger,Female,68,65_to_74,20244055
26,Motorcycle rider,Male,69,65_to_74,20241094
27,Passenger,Female,68,65_to_74,20243160
28,Driver,Male,76,75_or_older,20243160
29,Motorcycle rider,Male,35,26_to_39,20243209
30,Motorcycle rider,Male,55,40_to_64,20244001
31,Motorcycle rider,Male,63,40_to_64,20243243
32,Passenger,Female,66,65_to_74,20246016
33,Pedal cyclist,Male,61,40_to_64,20241119
34,Driver,Female,30,26_to_39,20241119
35,Driver,Male,34,26_to_39,20241169
36,Driver,Male,26,26_to_39,20241291
37,Motorcycle rider,Male,46,40_to_64,20243036
38,Pedestrian,Female,50,40_to_64,20244026
39,Pedestrian,Female,85,75_or_older,20241077
40,Driver,Female,92,75_or_older,20241028
41,Driver,Male,76,75_or_older,20241022
42,Motorcycle rider,Male,60,40_to_64,20243015
43,Driver,Female,74,65_to_74,20244023
44,Motorcycle rider,Male,26,26_to_39,20241098
45,Driver,Female,60,40_to_64,20243114
46,Passenger,Female,59,40_to_64,20243114
47,Motorcycle rider,Male,45,40_to_64,20241040
48,Driver,Female,90,75_or_older,20241174
49,Driver,Male,32,26_to_39,20241088
50,Driver,Male,49,40_to_64,20241255
51,Driver,Male,21,17_to_25,20241053
52,Passenger,Male,21,17_to_25,20241053
53,Driver,Male,16,0_to_16,20243046
54,Passenger,Female,22,17_to_25,20243046
55,Driver,Female,21,17_to_25,20241080
56,Passenger,Male,23,17_to_25,20243044
57,Passenger,Female,80,75_or_older,20241274
58,Passenger,Male,23,17_to_25,20243176
59,Pedestrian,Female,64,40_to_64,20241181
60,Driver,Female,17,17_to_25,20243110
61,Motorcycle rider,Male,71,65_to_74,20244044
62,Driver,Male,66,65_to_74,20243147
63,Motorcycle rider,Male,60,40_to_64,20244019
64,Driver,Male,54,40_to_64,20241194
65,Motorcycle rider,Male,18,17_to_25,20241139
66,Driver,Male,24,17_to_25,20241197
67,Pedestrian,Male,27,26_to_39,20243220
68,Driver,Male,38,26_to_39,20243267
69,Passenger,Female,97,75_or_older,20241057
70,Driver,Male,83,75_or_older,20243174
71,Driver,Male,49,40_to_64,20241166
72,Driver,Male,36,26_to_39,20243213
73,Driver,Male,70,65_to_74,20241096
74,Driver,Female,29,26_to_39,20242089
75,Motorcycle rider,Male,26,26_to_39,20243073
76,Driver,Male,43,40_to_64,20241027
77,Motorcycle rider,Male,61,40_to_64,20241163
78,Driver,Male,52,40_to_64,20243143
79,Motorcycle rider,Male,22,17_to_25,20241222
80,Driver,Male,53,40_to_64,20241218
81,Motorcycle rider,Male,44,40_to_64,20243249
82,Passenger,Female,57,40_to_64,20243098
83,Driver,Male,18,17_to_25,20241306
84,Passenger,Male,18,17_to_25,20243037
85,Driver,Male,53,40_to_64,20244083
86,Motorcycle rider,Male,25,17_to_25,20241196
87,Passenger,Female,44,40_to_64,20244028
88,Passenger,Female,64,40_to_64,20244028
89,Driver,Male,17,17_to_25,20243038
90,Pedestrian,Female,43,40_to_64,20242023
91,Driver,Female,83,75_or_older,20242230
92,Pedal cyclist,Male,71,65_to_74,20242127
93,Motorcycle rider,Male,69,65_to_74,20242120
94,Passenger,Male,87,75_or_older,20241106
95,Pedestrian,Female,58,40_to_64,20241230
96,Driver,Male,45,40_to_64,20241055
97,Motorcycle rider,Male,43,40_to_64,20241267
98,Driver,Male,38,26_to_39,20242260
99,Driver,Male,15,0_to_16,20242057
100,Driver,Male,27,26_to_39,20243153
101,Pedestrian,Male,63,40_to_64,20242161
102,Motorcycle rider,Male,38,26_to_39,20241236
103,Pedal cyclist,Male,36,26_to_39,20243172
104,Motorcycle rider,Male,47,40_to_64,20241188
105,Driver,Female,78,75_or_older,20243191
106,Driver,Female,19,17_to_25,20243191
107,Driver,Female,76,75_or_older,20241256
108,Passenger,Male,23,17_to_25,20241256
109,Driver,Female,78,75_or_older,20242019
110,Passenger,Male,25,17_to_25,20243008
111,Pedestrian,Male,29,26_to_39,20243001
112,Driver,Male,37,26_to_39,20243041
113,Pedestrian,Female,71,65_to_74,20244021
114,Driver,Male,18,17_to_25,20243113
115,Driver,Female,42,40_to_64,20241107
116,Driver,Female,15,0_to_16,20243022
117,Driver,Male,26,26_to_39,20248002
118,Driver,Male,21,17_to_25,20242088
119,Passenger,Female,60,40_to_64,20241173
120,Driver,Male,57,40_to_64,20241173
121,Driver,Male,30,26_to_39,20241004
122,Driver,Male,36,26_to_39,20246004
123,Pedestrian,Female,48,40_to_64,20241201
