crashId,dateTimeId
20241115,12_2024_4:00
20241125,12_2024_6:15
20246013,12_2024_9:43
20241002,12_2024_10:35
20243185,12_2024_13:00
20244016,12_2024_13:39
20243168,12_2024_19:00
20246003,12_2024_19:30
20246001,12_2024_19:40
20244081,12_2024_22:42
20241087,12_2024_23:00
20241054,12_2024_23:10
20244042,12_2024_1:00
20243246,12_2024_9:00
20241101,12_2024_10:48
20241216,12_2024_12:05
20241300,12_2024_13:58
20243007,12_2024_14:00
20241278,12_2024_14:43
20241149,12_2024_16:00
20241068,12_2024_3:30
20243273,12_2024_4:00
20244020,12_2024_10:25
20244055,12_2024_10:36
20241094,12_2024_12:10
20243160,12_2024_14:00
20243209,12_2024_14:00
20244001,12_2024_14:50
20243243,12_2024_15:00
20246016,12_2024_15:18
20241119,12_2024_15:25
20241169,12_2024_21:30
20241291,12_2024_2:00
20243036,12_2024_4:00
20244026,12_2024_6:35
20241077,12_2024_8:09
20241028,12_2024_8:20
20241022,12_2024_11:20
20243015,12_2024_12:00
20244023,12_2024_12:35
20241098,12_2024_12:50
20243114,12_2024_13:00
20241040,12_2024_14:15
20241174,12_2024_14:48
20241088,12_2024_16:00
20241255,12_2024_18:20
20241053,12_2024_22:19
20243046,12_2024_23:00
20241080,12_2024_1:39
20243044,12_2024_12:00
20241274,12_2024_15:40
20243176,12_2024_4:00
20241181,12_2024_8:30
20243110,12_2024_11:00
20244044,12_2024_13:30
20243147,12_2024_15:00
20244019,12_2024_18:30
20241194,12_2024_21:10
20241139,12_2024_22:55
20241197,12_2024_23:55
20243220,12_2024_0:00
20243267,12_2024_4:00
20241057,12_2024_12:25
20243174,12_2024_16:00
20241166,12_2024_17:00
20243213,11_2024_2:00
20241096,11_2024_4:44
20242089,11_2024_7:05
20243073,11_2024_10:00
20241027,11_2024_10:50
20241163,11_2024_12:42
20243143,11_2024_13:00
20241222,11_2024_14:30
20241218,11_2024_17:30
20243249,11_2024_18:00
20243098,11_2024_20:00
20241306,11_2024_22:35
20243037,11_2024_6:00
20244083,11_2024_6:23
20241196,11_2024_11:30
20244028,11_2024_12:12
20243038,11_2024_14:00
20242023,11_2024_14:20
20242230,11_2024_15:05
20242127,11_2024_15:07
20242120,11_2024_15:08
20241106,11_2024_15:38
20241230,11_2024_16:30
20241055,11_2024_17:57
20241267,11_2024_20:00
20242260,11_2024_23:10
20242057,11_2024_5:20
20243153,11_2024_9:00
20242161,11_2024_9:25
20241236,11_2024_10:00
20243172,11_2024_10:00
20241188,11_2024_11:10
20243191,11_2024_16:00
20241256,11_2024_17:20
20242019,11_2024_18:39
20243008,11_2024_19:00
20243001,11_2024_21:00
20243041,11_2024_21:00
20244021,11_2024_21:35
20243113,11_2024_23:00
20241107,11_2024_23:24
20243022,11_2024_0:00
20248002,11_2024_1:30
20242088,11_2024_2:10
20241173,11_2024_3:00
20241004,11_2024_6:00
20246004,11_2024_7:15
20241201,11_2024_8:10
20241029,11_2024_10:40
20243005,11_2024_11:00
20241261,11_2024_11:04
20244024,11_2024_11:30
20241215,11_2024_14:45
20243186,11_2024_17:00
20243208,11_2024_21:00
20241134,11_2024_0:01
20243040,11_2024_2:00
20241263,11_2024_4:00
20241302,11_2024_4:02
20241147,11_2024_5:45
20243248,11_2024_9:00
20243096,11_2024_9:00
20241150,11_2024_12:20
20241247,11_2024_13:30
20241234,11_2024_17:25
20242110,11_2024_17:44
20242052,11_2024_18:15
20243247,11_2024_5:00
20243144,11_2024_6:00
20241235,11_2024_10:45
20243087,11_2024_11:00
20244061,11_2024_11:48
20241009,11_2024_11:58
20241072,11_2024_12:00
20243129,11_2024_12:00
20242219,11_2024_12:25
20241219,11_2024_12:37
20244010,11_2024_12:55
20244040,11_2024_14:33
20243171,11_2024_16:00
20242075,11_2024_16:40
20243079,11_2024_17:00
20241045,11_2024_20:10
20243017,11_2024_23:00
20241160,11_2024_17:15
20241081,11_2024_18:00
20241135,11_2024_21:50
20241209,11_2024_22:08
20242140,10_2024_6:50
20242142,10_2024_7:15
20243107,10_2024_10:00
20243020,10_2024_11:00
20241151,10_2024_11:22
20243158,10_2024_15:00
20241286,10_2024_15:50
20243102,10_2024_16:00
20241303,10_2024_16:22
20246029,10_2024_16:58
20248005,10_2024_17:50
20244018,10_2024_19:57
20241060,10_2024_20:00
20242022,10_2024_22:20
20241037,10_2024_22:45
20241257,10_2024_23:38
20241128,10_2024_0:25
20243089,10_2024_2:00
20242181,10_2024_6:30
20243082,10_2024_8:00
20243150,10_2024_14:00
20243170,10_2024_18:00
20243239,10_2024_18:00
20242040,10_2024_2:10
20243084,10_2024_4:00
20241030,10_2024_5:06
20243127,10_2024_8:00
20243003,10_2024_12:00
20243266,10_2024_13:00
20241042,10_2024_13:10
20243121,10_2024_14:00
20241175,10_2024_20:10
20243072,10_2024_1:00
20244057,10_2024_3:45
20241091,10_2024_8:30
20243201,10_2024_9:00
20242135,10_2024_9:49
20243225,10_2024_10:00
20241167,10_2024_12:10
20244060,10_2024_13:00
20241268,10_2024_13:00
20244013,10_2024_13:29
20243235,10_2024_14:00
20244059,10_2024_14:42
20241266,10_2024_15:35
20243131,10_2024_16:00
20242080,10_2024_16:45
20241287,10_2024_4:50
20241152,10_2024_5:45
20243161,10_2024_8:00
20242042,10_2024_8:28
20243210,10_2024_9:00
20244025,10_2024_10:45
20243088,10_2024_13:00
20241211,10_2024_13:30
20242007,10_2024_13:54
20241204,10_2024_15:15
20244062,10_2024_16:30
20241137,10_2024_16:35
20243117,10_2024_17:00
20242081,10_2024_17:31
20243206,10_2024_19:00
20248003,10_2024_21:30
20244032,10_2024_0:18
20241153,10_2024_4:00
20242138,10_2024_5:15
20243198,10_2024_6:00
20242107,10_2024_14:30
20243080,10_2024_18:00
20242204,10_2024_18:15
20242139,10_2024_20:20
20241103,10_2024_13:45
20242129,10_2024_15:18
20244027,10_2024_15:34
20243006,10_2024_16:00
20243108,10_2024_17:00
20243212,10_2024_18:00
20241237,10_2024_18:45
20241052,10_2024_21:27
20241308,10_2024_23:30
20246027,9_2024_2:42
20244072,9_2024_8:00
20241195,9_2024_12:00
20244043,9_2024_12:18
20241102,9_2024_12:40
20243194,9_2024_14:00
20243070,9_2024_17:00
20243165,9_2024_18:00
20241063,9_2024_18:45
20241132,9_2024_20:18
20241292,9_2024_20:30
20241189,9_2024_21:00
20241233,9_2024_21:22
20242115,9_2024_10:09
20242167,9_2024_11:50
20241016,9_2024_13:30
20243234,9_2024_14:00
20246025,9_2024_14:00
20241220,9_2024_14:15
20241034,9_2024_17:30
20242012,9_2024_17:38
20243009,9_2024_1:00
20241269,9_2024_9:15
20242093,9_2024_10:05
20242176,9_2024_11:27
20242255,9_2024_15:47
20241066,9_2024_16:22
20242175,9_2024_17:35
20243207,9_2024_18:00
20242029,9_2024_19:06
20241246,9_2024_19:30
20241078,9_2024_22:08
20243064,9_2024_0:00
20241013,9_2024_1:15
20246019,9_2024_3:15
20242257,9_2024_10:04
20241138,9_2024_10:25
20244014,9_2024_13:00
20244069,9_2024_16:40
20242053,9_2024_16:40
20243111,9_2024_17:00
20243067,9_2024_19:00
20242186,9_2024_19:45
20242250,9_2024_21:20
20243167,9_2024_0:00
20243106,9_2024_4:00
20242098,9_2024_5:25
20241179,9_2024_6:50
20242070,9_2024_7:04
20243261,9_2024_8:00
20243227,9_2024_11:00
20242243,9_2024_11:30
20242102,9_2024_12:17
20241109,9_2024_21:05
20243187,9_2024_4:00
20241301,9_2024_12:36
20243135,9_2024_16:00
20241248,9_2024_6:00
20243268,9_2024_11:00
20242071,9_2024_13:11
20241020,9_2024_15:20
20241294,9_2024_16:50
20241304,9_2024_17:46
20242123,9_2024_18:40
20242144,9_2024_22:06
20241199,9_2024_22:45
20243066,8_2024_2:00
20243233,8_2024_5:00
20243203,8_2024_5:00
20242209,8_2024_6:15
20242056,8_2024_6:35
20242130,8_2024_8:59
20243109,8_2024_11:00
20243010,8_2024_13:00
20243181,8_2024_15:00
20246018,8_2024_15:15
20241071,8_2024_17:45
20241186,8_2024_17:50
