crashId,locationId
20241115,NSW_Inner Regional Australia_Riverina_Wagga Wagga_Arterial Road
20241125,NSW_Inner Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury_Local Road
20246013,TAS_Inner Regional Australia_Launceston and North East_Northern Midlands_Local Road
20241002,NSW_Outer Regional Australia_New England and North West_Armidale_National or State Highway
20243185,QLD_Inner Regional Australia_Toowoomba_Lockyer Valley_National or State Highway
20244016,SA_Outer Regional Australia_Barossa - Yorke - Mid North_Wakefield_Sub-arterial Road
20243168,QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road
20246003,TAS_Inner Regional Australia_Hobart_Brighton_Local Road
20246001,TAS_Outer Regional Australia_Launceston and North East_West Tamar_National or State Highway
20244081,SA_Outer Regional Australia_South Australia - South East_Mid Murray_Local Road
20241087,NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Blue Mountains_National or State Highway
20241054,NSW_Inner Regional Australia_Capital Region_Upper Lachlan_National or State Highway
20244042,SA_Outer Regional Australia_South Australia - South East_Wattle Range_Local Road
20243246,QLD_Outer Regional Australia_Cairns_Cairns_Collector Road
20241101,NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20241216,NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Penrith_Collector Road
20241300,NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter_National or State Highway
20243007,QLD_Outer Regional Australia_Wide Bay_South Burnett_National or State Highway
20241278,NSW_Outer Regional Australia_Central West_Mid-Western_Arterial Road
20241149,NSW_Major Cities of Australia_Sydney - Inner South West_Canterbury-Bankstown_Collector Road
20241068,NSW_Outer Regional Australia_Murray_Greater Hume_National or State Highway
20243273,QLD_Outer Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road
20244020,SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Sub-arterial Road
20244055,SA_Outer Regional Australia_South Australia - South East_Wattle Range_National or State Highway
20241094,NSW_Inner Regional Australia_Mid North Coast_Port Macquarie-Hastings_National or State Highway
20243160,QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Mackay_National or State Highway
20243209,QLD_Outer Regional Australia_Cairns_Douglas_Local Road
20244001,SA_Inner Regional Australia_South Australia - South East_Yankalilla_Arterial Road
20243243,QLD_Major Cities of Australia_Logan - Beaudesert_Logan_Sub-arterial Road
20246016,TAS_Outer Regional Australia_Launceston and North East_Dorset_National or State Highway
20241119,NSW_Inner Regional Australia_New England and North West_Armidale_Local Road
20241169,NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley_National or State Highway
20241291,NSW_Outer Regional Australia_Far West and Orana_Narromine_National or State Highway
20243036,QLD_Inner Regional Australia_Wide Bay_Fraser Coast_Local Road
20244026,SA_Very Remote Australia_South Australia - Outback_Unincorporated SA_Local Road
20241077,NSW_Major Cities of Australia_Illawarra_Shellharbour_Collector Road
20241028,NSW_Major Cities of Australia_Illawarra_Wollongong_Collector Road
20241022,NSW_Outer Regional Australia_New England and North West_Narrabri_Sub-arterial Road
20243015,QLD_Inner Regional Australia_Logan - Beaudesert_Logan_Local Road
20244023,SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Sub-arterial Road
20241098,NSW_Inner Regional Australia_Mid North Coast_Nambucca Valley_Sub-arterial Road
20243114,QLD_Remote Australia_Queensland - Outback_Cook_Sub-arterial Road
20241040,NSW_Outer Regional Australia_New England and North West_Tenterfield_National or State Highway
20241174,NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Arterial Road
20241088,NSW_Outer Regional Australia_New England and North West_Tamworth_Arterial Road
20241255,NSW_Inner Regional Australia_Capital Region_Hilltops_Arterial Road
20241053,NSW_Outer Regional Australia_Central West_Forbes_Arterial Road
20243046,QLD_Inner Regional Australia_Toowoomba_Toowoomba_Collector Road
20241080,NSW_Major Cities of Australia_Newcastle and Lake Macquarie_Lake Macquarie_Arterial Road
20243044,QLD_Remote Australia_Central Queensland_Livingstone_National or State Highway
20241274,NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_National or State Highway
20243176,QLD_Outer Regional Australia_Cairns_Cairns_Collector Road
20241181,NSW_Outer Regional Australia_Murray_Balranald_National or State Highway
20243110,QLD_Very Remote Australia_Queensland - Outback_Lockhart River_Local Road
20244044,SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_Sub-arterial Road
20243147,QLD_Outer Regional Australia_Cairns_Cassowary Coast_National or State Highway
20244019,SA_Remote Australia_South Australia - Outback_Tumby Bay_Collector Road
20241194,NSW_Major Cities of Australia_Sydney - South West_Liverpool_Arterial Road
20241139,NSW_Major Cities of Australia_Sydney - Parramatta_Cumberland_Local Road
20241197,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_National or State Highway
20243220,QLD_Outer Regional Australia_Cairns_Cassowary Coast_Collector Road
20243267,QLD_Inner Regional Australia_Moreton Bay - North_Moreton Bay_National or State Highway
20241057,NSW_Inner Regional Australia_Richmond - Tweed_Ballina_National or State Highway
20243174,QLD_Inner Regional Australia_Logan - Beaudesert_Logan_National or State Highway
20241166,NSW_Inner Regional Australia_Richmond - Tweed_Kyogle_Sub-arterial Road
20243213,QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway
20241096,NSW_Outer Regional Australia_New England and North West_Tenterfield_National or State Highway
20242089,VIC_Major Cities of Australia_Melbourne - Inner_Melbourne_Arterial Road
20243073,QLD_Major Cities of Australia_Brisbane - South_Brisbane_Sub-arterial Road
20241027,NSW_Outer Regional Australia_Riverina_Snowy Valleys_National or State Highway
20241163,NSW_Outer Regional Australia_New England and North West_Tamworth_Sub-arterial Road
20243143,QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_Local Road
20241222,NSW_Major Cities of Australia_Sydney - South West_Fairfield_National or State Highway
20241218,NSW_Inner Regional Australia_Capital Region_Yass Valley_National or State Highway
20243249,QLD_Remote Australia_Central Queensland_Central Highlands (Qld)_Collector Road
20243098,QLD_Inner Regional Australia_Wide Bay_Bundaberg_Sub-arterial Road
20241306,NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_The Hills_Collector Road
20243037,QLD_Outer Regional Australia_Cairns_Cairns_Local Road
20244083,SA_Major Cities of Australia_Adelaide - North_Salisbury_Local Road
20241196,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Port Stephens_Sub-arterial Road
20244028,SA_Inner Regional Australia_South Australia - South East_Yankalilla_Arterial Road
20243038,QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_Local Road
20242023,VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Sub-arterial Road
20242230,VIC_Inner Regional Australia_Warrnambool and South West_Moyne_Arterial Road
20242127,VIC_Major Cities of Australia_Melbourne - South East_Cardinia_Collector Road
20242120,VIC_Outer Regional Australia_Latrobe - Gippsland_East Gippsland_Arterial Road
20241106,NSW_Inner Regional Australia_Richmond - Tweed_Ballina_Sub-arterial Road
20241230,NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_Hornsby_Arterial Road
20241055,NSW_Major Cities of Australia_Central Coast_Central Coast (NSW)_Local Road
20241267,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_Local Road
20242260,VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Arterial Road
20242057,VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Arterial Road
20243153,QLD_Very Remote Australia_Queensland - Outback_Mareeba_Sub-arterial Road
20242161,VIC_Major Cities of Australia_Melbourne - North East_Whittlesea_Sub-arterial Road
20241236,NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_Arterial Road
20243172,QLD_Inner Regional Australia_Central Queensland_Rockhampton_Pedestrian Thoroughfare
20241188,NSW_Inner Regional Australia_Mid North Coast_Mid-Coast_National or State Highway
20243191,QLD_Inner Regional Australia_Ipswich_Ipswich_Sub-arterial Road
20241256,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Muswellbrook_Arterial Road
20242019,VIC_Outer Regional Australia_Warrnambool and South West_Glenelg_National or State Highway
20243008,QLD_Inner Regional Australia_Wide Bay_Bundaberg_Collector Road
20243001,QLD_Outer Regional Australia_Cairns_Douglas_National or State Highway
20243041,QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Sub-arterial Road
20244021,SA_Major Cities of Australia_Adelaide - West_Port Adelaide Enfield_Arterial Road
20243113,QLD_Major Cities of Australia_Brisbane - South_Brisbane_Local Road
20241107,NSW_Outer Regional Australia_Central West_Cabonne_Arterial Road
20243022,QLD_Major Cities of Australia_Gold Coast_Gold Coast_Collector Road
20248002,ACT_Major Cities of Australia_Australian Capital Territory_Unincorporated ACT_Arterial Road
20242088,VIC_Major Cities of Australia_Mornington Peninsula_Frankston_Sub-arterial Road
20241173,NSW_Outer Regional Australia_New England and North West_Moree Plains_National or State Highway
20241004,NSW_Major Cities of Australia_Sydney - Parramatta_Parramatta_Local Road
20246004,TAS_Outer Regional Australia_Launceston and North East_Meander Valley_National or State Highway
20241201,NSW_Major Cities of Australia_Capital Region_Queanbeyan-Palerang_Local Road
20241029,NSW_Outer Regional Australia_Capital Region_Snowy Monaro_National or State Highway
20243005,QLD_Inner Regional Australia_Wide Bay_Bundaberg_National or State Highway
20241261,NSW_Major Cities of Australia_Illawarra_Wollongong_National or State Highway
20244024,SA_Inner Regional Australia_Barossa - Yorke - Mid North_Barossa_Local Road
20241215,NSW_Outer Regional Australia_Murray_Federation_National or State Highway
20243186,QLD_Inner Regional Australia_Toowoomba_Toowoomba_Local Road
20243208,QLD_Major Cities of Australia_Brisbane Inner City_Brisbane_Sub-arterial Road
20241134,NSW_Major Cities of Australia_Sydney - Blacktown_Blacktown_Arterial Road
20243040,QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs_National or State Highway
20241263,NSW_Inner Regional Australia_Central West_Cowra_Local Road
20241302,NSW_Inner Regional Australia_Capital Region_Goulburn Mulwaree_National or State Highway
20241147,NSW_Major Cities of Australia_Sydney - Baulkham Hills and Hawkesbury_The Hills_Collector Road
20243248,QLD_Major Cities of Australia_Moreton Bay - South_Moreton Bay_Local Road
20243096,QLD_Inner Regional Australia_Wide Bay_Gympie_Local Road
20241150,NSW_Major Cities of Australia_Sydney - North Sydney and Hornsby_Willoughby_Arterial Road
20241247,NSW_Inner Regional Australia_Capital Region_Shoalhaven_National or State Highway
20241234,NSW_Inner Regional Australia_Capital Region_Queanbeyan-Palerang_Arterial Road
20242110,VIC_Inner Regional Australia_Bendigo_Greater Bendigo_National or State Highway
20242052,VIC_Inner Regional Australia_Melbourne - North East_Nillumbik_Arterial Road
20243247,QLD_Outer Regional Australia_Darling Downs - Maranoa_Western Downs_Sub-arterial Road
20243144,QLD_Inner Regional Australia_Central Queensland_Rockhampton_National or State Highway
20241235,NSW_Inner Regional Australia_Illawarra_Wollongong_Arterial Road
20243087,QLD_Inner Regional Australia_Wide Bay_South Burnett_Collector Road
20244061,SA_Remote Australia_South Australia - South East_Tatiara_National or State Highway
20241009,NSW_Inner Regional Australia_Richmond - Tweed_Tweed_Arterial Road
20241072,NSW_Outer Regional Australia_Mid North Coast_Mid-Coast_Sub-arterial Road
20243129,QLD_Major Cities of Australia_Ipswich_Ipswich_National or State Highway
20242219,VIC_Inner Regional Australia_North West_Ararat_National or State Highway
20241219,NSW_Inner Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury_Arterial Road
20244010,SA_Inner Regional Australia_Barossa - Yorke - Mid North_Light_Arterial Road
20244040,SA_Major Cities of Australia_Adelaide - North_Salisbury_Collector Road
20243171,QLD_Outer Regional Australia_Cairns_Cairns_National or State Highway
20242075,VIC_Inner Regional Australia_Warrnambool and South West_Colac Otway_Arterial Road
20243079,QLD_Very Remote Australia_Queensland - Outback_McKinlay_Sub-arterial Road
20241045,NSW_Inner Regional Australia_Hunter Valley exc Newcastle_Singleton_Local Road
20243017,QLD_Outer Regional Australia_Central Queensland_Gladstone_National or State Highway
20241160,NSW_Inner Regional Australia_Riverina_Wagga Wagga_Sub-arterial Road
20241081,NSW_Inner Regional Australia_Central West_Lithgow_National or State Highway
20241135,NSW_Outer Regional Australia_New England and North West_Moree Plains_National or State Highway
20241209,NSW_Major Cities of Australia_Sydney - Outer South West_Campbelltown (NSW)_National or State Highway
20242140,VIC_Inner Regional Australia_Warrnambool and South West_Moyne_National or State Highway
20242142,VIC_Inner Regional Australia_Melbourne - North West_Macedon Ranges_Sub-arterial Road
20243107,QLD_Outer Regional Australia_Cairns_Cairns_Sub-arterial Road
20243020,QLD_Major Cities of Australia_Sunshine Coast_Sunshine Coast_Local Road
20241151,NSW_Outer Regional Australia_Far West and Orana_Warrumbungle_Local Road
20243158,QLD_Outer Regional Australia_Mackay - Isaac - Whitsunday_Whitsunday_National or State Highway
20241286,NSW_Outer Regional Australia_Hunter Valley exc Newcastle_Upper Hunter_Arterial Road
20243102,QLD_Major Cities of Australia_Sunshine Coast_Noosa_Sub-arterial Road
