crashId,crashType,numberFatalities,busInvolvement,heavyRigidTruckInvolvement,articulatedTruckInvolvement,speedLimit,nationalRoadType
20241115,Single,1,No,No,No,100,Arterial Road
20241125,Single,1,No,No,No,80,Local Road
20246013,Single,1,No,No,No,50,Local Road
20241002,Single,1,No,No,No,100,National or State Highway
20243185,Single,1,No,No,No,100,National or State Highway
20244016,Single,1,No,No,No,100,Sub-arterial Road
20243168,Single,1,No,No,No,60,Local Road
20246003,Single,1,No,No,No,50,Local Road
20246001,Single,1,No,No,No,100,National or State Highway
20244081,Single,1,No,No,No,50,Local Road
20241087,Single,1,No,No,No,70,National or State Highway
20241054,Single,1,No,No,Yes,110,National or State Highway
20244042,Single,1,No,No,No,100,Local Road
20243246,Single,1,No,No,No,80,Collector Road
20241101,Single,1,No,No,Yes,60,National or State Highway
20241216,Single,1,No,No,No,60,Collector Road
20241300,Single,1,No,No,No,100,National or State Highway
20243007,Single,1,No,No,No,100,National or State Highway
20241278,Single,1,No,No,No,100,Arterial Road
20241149,Single,1,No,No,No,40,Collector Road
20241068,Single,1,Yes,No,Yes,110,National or State Highway
20243273,Single,1,No,No,No,100,Local Road
20244020,Single,1,No,No,No,100,Sub-arterial Road
20244055,Multiple,2,No,No,No,110,National or State Highway
20241094,Single,1,No,No,No,50,National or State Highway
20243160,Multiple,2,No,No,No,100,National or State Highway
20243209,Single,1,No,No,No,50,Local Road
20244001,Single,1,No,No,No,100,Arterial Road
20243243,Single,1,No,Yes,No,70,Sub-arterial Road
20246016,Single,1,No,No,No,100,National or State Highway
20241119,Multiple,2,No,No,No,100,Local Road
20241169,Single,1,No,No,No,80,National or State Highway
20241291,Single,1,No,No,Yes,110,National or State Highway
20243036,Single,1,No,No,No,100,Local Road
20244026,Single,1,No,No,No,50,Local Road
20241077,Single,1,No,No,No,50,Collector Road
20241028,Single,1,No,No,No,50,Collector Road
20241022,Single,1,No,No,No,100,Sub-arterial Road
20243015,Single,1,No,No,No,60,Local Road
20244023,Single,1,No,No,No,100,Sub-arterial Road
20241098,Single,1,No,No,No,90,Sub-arterial Road
20243114,Multiple,2,No,No,No,100,Sub-arterial Road
20241040,Single,1,No,No,No,100,National or State Highway
20241174,Single,1,No,No,No,60,Arterial Road
20241088,Single,1,No,No,No,100,Arterial Road
20241255,Single,1,No,No,No,100,Arterial Road
20241053,Multiple,2,No,No,No,100,Arterial Road
20243046,Multiple,2,No,No,No,60,Collector Road
20241080,Single,1,No,No,No,60,Arterial Road
20243044,Single,1,No,No,Yes,100,National or State Highway
20241274,Single,1,No,No,No,100,National or State Highway
20243176,Single,1,No,No,No,60,Collector Road
20241181,Single,1,No,No,Yes,110,National or State Highway
20243110,Single,1,No,No,No,60,Local Road
20244044,Single,1,No,No,No,100,Sub-arterial Road
20243147,Single,1,No,No,No,80,National or State Highway
20244019,Single,1,No,No,No,100,Collector Road
20241194,Single,1,No,Yes,Yes,80,Arterial Road
20241139,Single,1,Yes,No,No,50,Local Road
20241197,Single,1,No,No,Yes,100,National or State Highway
20243220,Single,1,No,No,No,100,Collector Road
20243267,Single,1,No,No,No,90,National or State Highway
20241057,Single,1,No,No,No,110,National or State Highway
20243174,Single,1,No,No,No,80,National or State Highway
20241166,Single,1,No,No,No,100,Sub-arterial Road
20243213,Single,1,No,No,Yes,100,National or State Highway
20241096,Single,1,No,No,No,100,National or State Highway
20242089,Single,1,No,No,No,60,Arterial Road
20243073,Single,1,No,No,No,70,Sub-arterial Road
20241027,Single,1,No,No,No,100,National or State Highway
20241163,Single,1,No,No,No,100,Sub-arterial Road
20243143,Single,1,No,No,No,100,Local Road
20241222,Single,1,No,No,No,100,National or State Highway
20241218,Single,1,No,No,No,110,National or State Highway
20243249,Single,1,No,No,No,100,Collector Road
20243098,Single,1,No,No,No,80,Sub-arterial Road
20241306,Single,1,No,No,No,60,Collector Road
20243037,Single,1,No,No,No,50,Local Road
20244083,Single,1,No,No,No,60,Local Road
20241196,Single,1,No,No,No,60,Sub-arterial Road
20244028,Multiple,2,No,No,No,100,Arterial Road
20243038,Single,1,No,No,No,100,Local Road
20242023,Single,1,No,No,Yes,70,Sub-arterial Road
