locationId,state,nationalRemoteAreas,sa4Name,lgaName,crashId
NSW_Inner Regional Australia_Riverina_Wagga Wagga,NSW,Inner Regional Australia,Riverina,Wagga Wagga,20241115
NSW_Inner Regional Australia_Sydney - Baulkham Hills and Hawkesbury_Hawkesbury,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,20241125
TAS_Inner Regional Australia_Launceston and North East_Northern Midlands,TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,20246013
NSW_Outer Regional Australia_New England and North West_Armidale,NSW,Outer Regional Australia,New England and North West,Armidale,20241002
QLD_Inner Regional Australia_Toowoomba_Lockyer Valley,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,20243185
SA_Outer Regional Australia_Barossa - Yorke - Mid North_Wakefield,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,20244016
QLD_Inner Regional Australia_Darling Downs - Maranoa_Southern Downs,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,20243168
TAS_Inner Regional Australia_Hobart_Brighton,TAS,Inner Regional Australia,Hobart,Brighton,20246003
TAS_Outer Regional Australia_Launceston and North East_West Tamar,TAS,Outer Regional Australia,Launceston and North East,West Tamar,20246001
SA_Outer Regional Australia_South Australia - South East_Mid Murray,SA,Outer Regional Australia,South Australia - South East,Mid Murray,20244081
NSW_Major Cities of Australia_Sydney - Outer West and Blue Mountains_Blue Mountains,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,20241087
NSW_Inner Regional Australia_Capital Region_Upper Lachlan,NSW,Inner Regional Australia,Capital Region,Upper Lachlan,20241054
SA_Outer Regional Australia_South Australia - South East_Wattle Range,SA,Outer Regional Australia,South Australia - South East,Wattle Range,20244042
QLD_Outer Regional Australia_Cairns_Cairns,QLD,Outer Regional Australia,Cairns,Cairns,20243246
NSW_Major Cities of Australia_Illawarra_Wollongong,NSW,Major Cities of Australia,Illawarra,Wollongong,20241101
