personId,crashId
1,20241115
2,20241125
3,20246013
4,20241002
5,20243185
6,20244016
7,20243168
8,20246003
9,20246001
10,20244081
11,20241087
12,20241054
13,20244042
14,20243246
15,20241101
16,20241216
17,20241300
18,20243007
19,20241278
20,20241149
21,20241068
22,20243273
23,20244020
24,20244055
25,20244055
26,20241094
27,20243160
28,20243160
29,20243209
30,20244001
31,20243243
32,20246016
33,20241119
34,20241119
35,20241169
36,20241291
37,20243036
38,20244026
39,20241077
40,20241028
41,20241022
42,20243015
43,20244023
44,20241098
45,20243114
46,20243114
47,20241040
48,20241174
49,20241088
50,20241255
51,20241053
52,20241053
53,20243046
54,20243046
55,20241080
56,20243044
57,20241274
58,20243176
59,20241181
60,20243110
61,20244044
62,20243147
63,20244019
64,20241194
65,20241139
66,20241197
67,20243220
68,20243267
69,20241057
70,20243174
71,20241166
72,20243213
73,20241096
74,20242089
75,20243073
76,20241027
77,20241163
78,20243143
79,20241222
80,20241218
81,20243249
82,20243098
83,20241306
84,20243037
85,20244083
86,20241196
87,20244028
88,20244028
89,20243038
90,20242023
91,20242230
92,20242127
93,20242120
94,20241106
95,20241230
96,20241055
97,20241267
98,20242260
99,20242057
100,20243153
101,20242161
102,20241236
103,20243172
104,20241188
105,20243191
106,20243191
107,20241256
108,20241256
109,20242019
110,20243008
111,20243001
112,20243041
113,20244021
114,20243113
115,20241107
116,20243022
117,20248002
118,20242088
119,20241173
120,20241173
121,20241004
122,20246004
123,20241201
124,20241029
125,20243005
126,20241261
127,20244024
128,20241215
129,20243186
130,20243208
131,20241134
132,20243040
133,20243040
134,20241263
135,20241302
136,20241147
137,20243248
138,20243096
139,20241150
140,20241247
141,20241234
142,20242110
143,20242052
144,20243247
145,20243144
146,20241235
147,20243087
148,20243087
149,20244061
150,20241009
151,20241072
152,20243129
153,20242219
154,20241219
155,20244010
156,20244040
157,20243171
158,20242075
159,20243079
160,20241045
161,20243017
162,20243017
163,20241160
164,20241081
165,20241135
166,20241209
167,20242140
168,20242140
169,20242142
170,20243107
171,20243020
172,20241151
173,20243158
174,20241286
175,20243102
176,20241303
177,20246029
178,20248005
179,20244018
180,20241060
181,20241060
182,20242022
183,20241037
184,20241257
185,20241128
186,20243089
187,20242181
188,20243082
189,20243150
190,20243170
191,20243239
192,20242040
